Event	ID	Name			Wwise Object Path	Notes
	77593050	NPC_Male_Spawn			\Default Work Unit\NPC_Male_Spawn	
	287027837	NPC_Male_Jump			\Default Work Unit\NPC_Male_Jump	
	334853465	Mega_Rush_Start			\Default Work Unit\Mega_Rush_Start	
	483458994	PLayer_02_FS_Stop			\Default Work Unit\PLayer_02_FS_Stop	
	487004186	Player_02_FS_Start			\Default Work Unit\Player_02_FS_Start	
	597954154	Mega_Rush_End			\Default Work Unit\Mega_Rush_End	
	759310649	Player_01_FS_Stop			\Default Work Unit\Player_01_FS_Stop	
	782281652	Players_Fail			\Default Work Unit\Players_Fail	
	878465777	NPC_Female_Spawn			\Default Work Unit\NPC_Female_Spawn	
	1211834369	Music_UI_End			\Default Work Unit\Music_UI_End	
	1739715032	Music_Ingame_End			\Default Work Unit\Music_Ingame_End	
	1913560963	Music_Ingame_Start			\Default Work Unit\Music_Ingame_Start	
	1916826459	Player_01_FS_Start			\Default Work Unit\Player_01_FS_Start	
	2402349331	Body_Fall_Concrete			\Default Work Unit\Body_Fall_Concrete	
	2942290752	Players_Headimpact			\Default Work Unit\Players_Headimpact	
	3075040611	NPC_Old_Jump			\Default Work Unit\NPC_Old_Jump	
	3358287209	Players_Success			\Default Work Unit\Players_Success	
	3473276980	NPC_Old_Spawn			\Default Work Unit\NPC_Old_Spawn	
	3704466344	NPC_Female_Jump			\Default Work Unit\NPC_Female_Jump	
	3832435954	Music_UI_Start			\Default Work Unit\Music_UI_Start	

Effect plug-ins	ID	Name	Type				Notes
	488358449	Room_Large (Custom)	Wwise RoomVerb			
	1159390747	Room_Medium_Tiled	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3148179	Player_Fail_019_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Player_Fail_019.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players_Fail\Player_Fail_019_flac		251884
	8880284	Men_Scream_016_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Men_Scream_016.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Male\NPC_Male_Jump\Men_Scream_016_flac		306024
	15398766	Player Sucess_002_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Player Sucess_002.flac_6080F386.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players_Success\Player Sucess_002_flac		80874
	28758130	Men_Help_Me_007_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Men_Help_Me_007.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Old\NPC_Old_Spawn\Men_Help_Me_007_flac		306638
	29319560	Men_Scream_001_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Men_Scream_001.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Old\NPC_Old_Jump\Men_Scream_001_flac		314750
	33960303	Victim_fille_007_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Victim_fille_007.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Female\NPC_Female_Spawn\Victim_fille_007_flac		253556
	34858835	Men_Scream_015_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Men_Scream_015.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Male\NPC_Male_Jump\Men_Scream_015_flac		305592
	36947793	Women_Help_Me_005_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Women_Help_Me_005.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Female\NPC_Female_Spawn\Women_Help_Me_005_flac		281916
	58089477	Women_Scream_008_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Women_Scream_008.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Female\NPC_Female_Jump\Women_Scream_008_flac		402252
	60418176	Men_Scream_003_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Men_Scream_003.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC_Old\NPC_Old_Jump\Men_Scream_003_flac		287136
	61598731	Player_Fail_007_flac	C:\Users\jérémi\Documents\Anaconda\Anaconda\.cache\Windows\SFX\Player_Fail_007.flac_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players_Fail\Player_Fail_007_flac		222844
